date;close;open;high;low
01/11/2017;6248.65;6274.26;6276.67;6224.58
02/11/2017;6236.39;6238.29;6243.74;6194.58
03/11/2017;6295.58;6266.19;6297.63;6237.65
06/11/2017;6313.61;6292.15;6318.58;6291.84
07/11/2017;6320.78;6314.69;6328.58;6299.53
08/11/2017;6345.81;6319.03;6346.98;6308.62
09/11/2017;6312.21;6295.29;6315.16;6248.29
10/11/2017;6309.07;6297.15;6313.17;6284.22
13/11/2017;6316.18;6286.01;6325.18;6285.97
14/11/2017;6293.64;6293.33;6300.46;6263.77
15/11/2017;6258.36;6261.27;6276.8;6227.99
16/11/2017;6339.14;6293.46;6352.47;6293.46
17/11/2017;6314.51;6343.64;6345.56;6308.48
20/11/2017;6308.61;6319.57;6324.59;6301.88
21/11/2017;6378.63;6336.91;6380.07;6336.26
22/11/2017;6386.12;6384.13;6391.16;6371.75
23/11/2017;6386.12;6384.13;6391.16;6371.75
24/11/2017;6409.29;6393.33;6410.77;6389.4
27/11/2017;6405.97;6409.52;6420.21;6392.01
28/11/2017;6422.56;6419.48;6426.04;6385.32
29/11/2017;6311.38;6412.69;6412.69;6279.37
30/11/2017;6365.56;6337.34;6374.19;6321.43
01/12/2017;6337.87;6325.61;6365.3;6244.84
04/12/2017;6263.7;6380.68;6380.77;6256.81
05/12/2017;6265.11;6242.47;6337.06;6235.77
06/12/2017;6293.05;6243.73;6304.1;6234.22
07/12/2017;6316.28;6300.64;6333.29;6290.65
08/12/2017;6344.57;6364.6;6377.55;6335.23
11/12/2017;6393.89;6351.24;6394.43;6347.91
12/12/2017;6383.65;6389.47;6403.5;6371.69
13/12/2017;6394.67;6405.41;6416.83;6388.41
14/12/2017;6389.91;6407.25;6423.68;6386.25
15/12/2017;6466.32;6405.15;6470.92;6405.03
18/12/2017;6513.27;6504.89;6522.7;6495.18
19/12/2017;6480.67;6505.36;6510.87;6462.79
20/12/2017;6472.48;6504.55;6504.55;6447.93
21/12/2017;6472.69;6481.08;6501.52;6467.78
22/12/2017;6465.17;6462.55;6467.83;6449
25/12/2017;6465.17;6462.55;6467.83;6449
26/12/2017;6433.16;6427.32;6438.24;6407.99
27/12/2017;6435.15;6437.06;6448.94;6425.92
28/12/2017;6441.42;6449.53;6452.07;6432.68
29/12/2017;6396.42;6439.91;6442.53;6396.42
01/01/2018;6396.42;6439.91;6442.53;6396.42
02/01/2018;6511.34;6431.59;6513.02;6417.75
03/01/2018;6575.8;6520.03;6579.25;6519.26
04/01/2018;6584.58;6595.75;6603.17;6576.92
05/01/2018;6653.29;6613.13;6654.98;6605.03
08/01/2018;6676.63;6651.68;6680.32;6649.2
09/01/2018;6677.94;6692.87;6696.12;6658.27
10/01/2018;6662.66;6640.67;6663.51;6619.35
11/01/2018;6708.49;6675.69;6708.49;6664.74
12/01/2018;6758.54;6699.32;6763.98;6695.52
15/01/2018;6758.54;6699.32;6763.98;6695.52
16/01/2018;6737.14;6807.85;6835.79;6719.11
17/01/2018;6810.28;6767.85;6820.04;6738.45
18/01/2018;6811.38;6804.59;6826.79;6784.72
19/01/2018;6834.33;6829.04;6843.24;6801.59
22/01/2018;6906.28;6829.55;6906.28;6822.86
23/01/2018;6963.46;6928.27;6969.4;6926.37
24/01/2018;6919.35;6975.38;6992.91;6880.68
25/01/2018;6916.3;6965.01;6967.6;6894.84
26/01/2018;7022.97;6956.66;7022.97;6941.48
29/01/2018;6988.32;7000.68;7020.64;6974.7
30/01/2018;6930.73;6910.39;6958.79;6894.63
31/01/2018;6949.99;6972.81;6983.61;6915.48
01/02/2018;6901.5;6910.57;6970.77;6879.02
02/02/2018;6760.29;6866.38;6889.07;6756.54
05/02/2018;6495.92;6687.47;6807.96;6495.39
06/02/2018;6665.98;6378.6;6673.41;6370.48
07/02/2018;6582.02;6632.98;6716.25;6581.38
08/02/2018;6306.1;6595.81;6606.05;6304.18
09/02/2018;6412.68;6395.16;6453.43;6164.43
12/02/2018;6523.85;6477.04;6565.28;6424.3
13/02/2018;6553.86;6482.77;6567.62;6478.41
14/02/2018;6675.03;6523.26;6684.15;6520.39
15/02/2018;6794.92;6734.34;6795.92;6665.92
16/02/2018;6770.66;6778.28;6840.6;6758.51
19/02/2018;6770.66;6778.28;6840.6;6758.51
20/02/2018;6779.7;6742.15;6838;6740.48
21/02/2018;6759.26;6808.6;6879.47;6759.22
22/02/2018;6761.85;6793.08;6826.01;6744.05
23/02/2018;6896.6;6816.43;6897.54;6789.03
26/02/2018;6989.1;6933.82;6989.36;6927.46
27/02/2018;6900.35;6984.83;7003.14;6900.35
28/02/2018;6854.42;6945.2;6964.16;6854.42
01/03/2018;6750.54;6862.94;6892.38;6687.44
02/03/2018;6811.04;6661.91;6820.37;6645.03
05/03/2018;6881.28;6777.63;6901.63;6753.83
06/03/2018;6913.02;6919.79;6937.03;6872.06
07/03/2018;6929.39;6855.57;6935.48;6850.91
08/03/2018;6966.43;6955.85;6971;6931.35
09/03/2018;7101.18;7014.84;7101.31;7007.3
12/03/2018;7131.12;7122.47;7156.25;7108.04
13/03/2018;7046.51;7172.25;7186.09;7025.83
14/03/2018;7040.98;7077.85;7084.07;7012.57
15/03/2018;7030.97;7050.66;7075.55;7010.01
16/03/2018;7019.95;7058.12;7061.67;7011.69
19/03/2018;6864.88;6945.97;6949.02;6806.16
20/03/2018;6885.92;6871.09;6902.23;6845.85
21/03/2018;6853.45;6863.29;6930.7;6828.88
22/03/2018;6682.26;6763.94;6809.94;6679.35
23/03/2018;6508.09;6683.19;6708.58;6507.84
26/03/2018;6753.83;6644.4;6760.65;6538.79
27/03/2018;6529.84;6791.39;6793.5;6479.56
28/03/2018;6460.81;6488.02;6559.88;6410.04
29/03/2018;6581.13;6493.51;6640.76;6435.67
30/03/2018;6581.13;6493.51;6640.76;6435.67
02/04/2018;6390.84;6528.23;6560.96;6322.6
03/04/2018;6458.83;6448.05;6485.27;6343.9
04/04/2018;6560.06;6326.54;6578.56;6326.54
05/04/2018;6594.84;6619.22;6632.21;6550.28
06/04/2018;6433.21;6514.48;6587.36;6402.03
09/04/2018;6472.34;6488.48;6604.26;6466.04
10/04/2018;6615.87;6585.53;6639.97;6534.89
11/04/2018;6583.44;6578.84;6650.29;6574.88
12/04/2018;6656.26;6627.32;6682.69;6618.81
13/04/2018;6628.34;6696.02;6703.31;6598.34
16/04/2018;6675.18;6675.92;6699.76;6633.08
17/04/2018;6816.37;6738.65;6834.31;6729.79
18/04/2018;6833.21;6824.58;6856.96;6788.32
19/04/2018;6774.89;6793.08;6815.04;6749.07
20/04/2018;6667.75;6754.68;6757.68;6642.83
23/04/2018;6648.8;6699.16;6721.65;6613.55
