date,JOPA3_open,JOPA3_high,JOPA3_low,JOPA3_close,JOPA3_tick_volume,JOPA3_spread,JOPA3_real_volume,JOPA4_open,JOPA4_high,JOPA4_low,JOPA4_close,JOPA4_tick_volume,JOPA4_spread,JOPA4_tick_volume,CGRA3_open,CGRA3_high,CGRA3_low,CGRA3_close,CGRA3_tick_volume,CGRA3_spread,CGRA3_tick_volume,CGRA4_open,CGRA4_high,CGRA4_low,CGRA4_close,CGRA4_tick_volume,CGRA4_spread,CGRA4_tick_volume,SLED3_open,SLED3_high,SLED3_low,SLED3_close,SLED3_tick_volume,SLED3_spread,SLED3_tick_volume
2019-03-29 11:33:00,21.31,21.31,21.31,21.31,1,1,100,13.46,13.46,13.46,13.46,2.0,1.0,2.0,11.09,11.09,11.09,11.09,1,1,1,10.25,10.25,10.25,10.25,1,1,1,159.51,159.51,159.51,159.51,1,1,1
2019-03-29 12:49:00,20.8,20.8,20.8,20.8,6,1,600,13.74,13.74,13.74,13.74,1.0,1.0,1.0,11.09,11.09,11.09,11.09,2,1,2,10.25,10.25,10.25,10.25,1,1,1,136.73,136.73,136.73,136.73,1,1,1
2019-03-29 14:55:00,20.8,20.8,19.55,19.55,4,1,400,15.85,15.85,15.85,15.85,1.0,1.0,1.0,11.09,11.09,11.09,11.09,1,1,1,10.25,10.25,10.25,10.25,1,1,1,113.94,113.94,113.94,113.94,3,1,3
2019-04-01 16:54:00,19.69,19.69,19.39,19.39,6,1,900,14.71,14.71,14.71,14.71,2.0,1.0,2.0,11.09,11.09,11.09,11.09,1,1,1,10.25,10.25,10.25,10.25,1,1,1,136.73,136.73,136.73,136.73,2,1,2
2019-04-02 14:05:00,19.39,19.39,19.39,19.39,1,1,100,14.71,14.71,14.71,14.71,1.0,1.0,1.0,11.0,11.0,11.0,11.0,2,1,2,10.23,10.23,9.98,9.98,8,1,8,113.94,113.94,113.94,113.94,1,1,1
2019-04-02 15:05:00,19.39,19.39,19.39,19.39,1,1,100,13.86,13.86,13.86,13.86,1.0,1.0,1.0,11.09,11.09,11.09,11.09,2,1,2,10.12,10.12,10.09,10.09,2,1,2,91.15,91.15,91.15,91.15,9,1,9
2019-04-02 16:18:00,18.45,18.45,18.45,18.45,1,1,100,13.87,13.87,13.87,13.87,1.0,1.0,1.0,11.09,11.09,11.09,11.09,1,1,1,10.07,10.07,10.07,10.07,2,1,2,91.15,91.15,91.15,91.15,1,1,1
2019-04-02 16:43:00,18.04,18.04,18.04,18.04,1,1,100,13.86,13.86,13.86,13.86,1.0,1.0,1.0,11.09,11.09,11.09,11.09,1,1,1,10.07,10.07,10.07,10.07,1,1,1,91.15,91.15,91.15,91.15,3,1,3
2019-04-11 15:53:00,19.9,19.9,19.9,19.9,1,1,100,14.73,14.73,14.73,14.73,1.0,1.0,1.0,11.09,11.09,11.09,11.09,2,1,2,10.07,10.07,10.07,10.07,1,1,1,79.98,79.98,79.98,79.98,2,1,2
2019-04-16 13:29:00,20.81,20.81,20.81,20.81,1,1,100,16.46,16.46,16.46,16.46,1.0,1.0,1.0,11.09,11.09,11.09,11.09,2,1,2,10.07,10.07,10.07,10.07,1,1,1,73.6,73.6,73.6,73.6,3,1,3
