date,ESGU11_open,ESGU11_high,ESGU11_low,ESGU11_close,ESGU11_tick_volume,ESGU11_spread,ESGU11_real_volume,ELAS11_open,ELAS11_high,ELAS11_low,ELAS11_close,ELAS11_tick_volume,ELAS11_spread,ELAS11_tick_volume,HASH11_open,HASH11_high,HASH11_low,HASH11_close,HASH11_tick_volume,HASH11_spread,HASH11_tick_volume,BITH11_open,BITH11_high,BITH11_low,BITH11_close,BITH11_tick_volume,BITH11_spread,BITH11_tick_volume,CRPT11_open,CRPT11_high,CRPT11_low,CRPT11_close,CRPT11_tick_volume,CRPT11_spread,CRPT11_tick_volume
2022-03-16 12:09:00,8.4,8.4,8.4,8.4,1,1,10,103.61,103.61,103.61,103.61,1,1,1,61.05,61.21,61.05,61.14,23,1,23,52.55,52.55,52.51,52.51,2,1,2,8.42,8.42,8.25,8.25,9,1,9
2022-03-16 13:07:00,8.4,8.4,8.4,8.4,1,1,1,103.73,103.73,103.72,103.72,2,1,2,61.12,61.14,61.1,61.12,18,1,18,52.65,52.65,52.55,52.55,3,1,3,8.35,8.35,8.35,8.35,1,1,1
2022-03-16 16:37:00,8.39,8.39,8.39,8.39,1,1,1,103.75,103.75,103.75,103.75,3,1,3,61.11,61.13,61.02,61.02,31,1,31,52.65,52.65,52.65,52.65,1,1,1,8.5,8.5,8.5,8.5,1,1,1
2022-03-16 16:40:00,8.35,8.41,8.35,8.41,3,1,488002,103.7,103.76,103.7,103.76,2,1,2,61.02,61.06,61.02,61.02,19,1,19,52.7,53.02,52.4,52.6,27,1,27,8.5,8.5,8.5,8.5,1,1,1
2022-03-17 10:58:00,8.41,8.45,8.41,8.45,3,1,406,103.74,103.8,103.74,103.8,2,1,2,61.01,61.02,60.99,61.0,97,1,97,52.65,52.75,52.65,52.75,3,1,3,8.5,8.5,8.5,8.5,1,1,1
2022-03-17 12:53:00,8.37,8.37,8.37,8.37,1,1,100,103.78,103.78,103.76,103.76,2,1,2,60.99,61.0,60.95,60.95,37,1,37,52.7,52.7,52.7,52.7,1,1,1,8.36,8.36,8.36,8.36,1,1,1
2022-03-17 13:15:00,8.37,8.37,8.37,8.37,1,1,1,103.78,103.78,103.74,103.74,2,1,2,60.91,60.92,60.86,60.86,28,1,28,52.75,52.75,52.75,52.75,1,1,1,8.37,8.37,8.35,8.35,3,1,3
2022-03-17 13:38:00,8.39,8.42,8.39,8.42,3,1,300216,103.68,103.68,103.68,103.68,2,1,2,60.86,60.86,60.7,60.76,67,1,67,52.7,52.7,52.36,52.36,8,1,8,8.49,8.49,8.49,8.49,1,1,1
2022-03-18 12:51:00,8.43,8.43,8.43,8.43,1,1,5,103.71,103.72,103.71,103.72,3,1,3,60.78,60.78,60.74,60.74,12,1,12,52.5,53.2,52.5,53.2,16,1,16,8.49,8.49,8.49,8.49,3,1,3
2022-03-18 12:54:00,8.43,8.43,8.43,8.43,1,1,1,103.71,103.71,103.67,103.67,2,1,2,60.74,60.75,60.71,60.72,10,1,10,53.05,53.2,53.05,53.2,2,1,2,8.36,8.36,8.36,8.36,1,1,1
2022-03-18 14:00:00,8.44,8.49,8.44,8.49,4,1,612861,103.66,103.67,103.66,103.67,2,1,2,60.72,60.8,60.72,60.72,15,1,15,53.2,53.2,53.2,53.2,1,1,1,8.36,8.36,8.36,8.36,1,1,1
2022-03-21 11:16:00,8.38,8.38,8.38,8.38,1,1,1,103.69,103.69,103.65,103.65,2,1,2,60.77,60.8,60.77,60.8,6,1,6,53.09,53.2,52.25,52.5,57,1,57,8.36,8.36,8.36,8.36,1,1,1
2022-03-21 12:59:00,8.39,8.39,8.39,8.39,1,1,1,103.65,103.65,103.65,103.65,2,1,2,60.8,60.8,60.76,60.76,22,1,22,52.55,52.55,52.55,52.55,1,1,1,8.49,8.49,8.49,8.49,15,1,15
2022-03-21 15:38:00,8.38,8.38,8.38,8.38,1,1,1,103.65,103.65,103.63,103.63,2,1,2,60.76,60.77,60.63,60.69,38,1,38,52.6,52.6,52.6,52.6,1,1,1,8.49,8.49,8.49,8.49,6,1,6
2022-03-21 15:50:00,8.33,8.33,8.33,8.33,1,1,1,103.67,103.67,103.62,103.62,3,1,3,60.68,60.7,60.67,60.68,11,1,11,52.58,52.58,52.58,52.58,1,1,1,8.49,8.49,8.49,8.49,1,1,1
2022-03-21 15:51:00,8.33,8.33,8.33,8.33,1,1,24,103.57,103.57,103.52,103.52,2,1,2,60.65,60.65,60.5,60.56,42,1,42,52.65,52.65,52.65,52.65,1,1,1,8.49,8.49,8.49,8.49,1,1,1
2022-03-21 16:40:00,8.34,8.37,8.34,8.37,4,1,878101,103.6,103.64,103.6,103.64,2,1,2,60.55,60.55,60.41,60.49,75,1,75,52.7,52.79,52.7,52.79,3,1,3,8.49,8.49,8.49,8.49,9,1,9
2022-03-22 12:58:00,8.47,8.47,8.47,8.47,1,1,1,103.65,103.73,103.65,103.73,2,1,2,60.51,60.53,60.45,60.45,21,1,21,52.79,52.79,52.79,52.79,1,1,1,8.25,8.49,8.25,8.49,9,1,9
2022-03-22 13:15:00,8.43,8.43,8.42,8.42,3,1,288385,103.75,103.75,103.75,103.75,2,1,2,60.51,60.54,60.49,60.54,23,1,23,52.79,52.79,52.79,52.79,1,1,1,8.45,8.45,8.45,8.45,1,1,1
2022-03-23 10:05:00,8.2,8.2,8.2,8.2,1,1,1,103.78,103.8,103.78,103.8,2,1,2,60.54,60.54,60.49,60.53,18,1,18,52.66,52.66,52.66,52.66,1,1,1,8.5,8.5,8.5,8.5,1,1,1
