date,XMAL11_open,XMAL11_high,XMAL11_low,XMAL11_close,XMAL11_tick_volume,XMAL11_spread,XMAL11_real_volume,SMAB11_open,SMAB11_high,SMAB11_low,SMAB11_close,SMAB11_tick_volume,SMAB11_spread,SMAB11_tick_volume,TRIG11_open,TRIG11_high,TRIG11_low,TRIG11_close,TRIG11_tick_volume,TRIG11_spread,TRIG11_tick_volume,IVVB11_open,IVVB11_high,IVVB11_low,IVVB11_close,IVVB11_tick_volume,IVVB11_spread,IVVB11_tick_volume,SPXB11_open,SPXB11_high,SPXB11_low,SPXB11_close,SPXB11_tick_volume,SPXB11_spread,SPXB11_tick_volume
2021-09-27 13:18:00,8.87,8.87,8.87,8.87,1,1,6,,,,,,,,44.34,44.34,44.34,44.34,1.0,1.0,1.0,283.3,283.32,283.16,283.16,38,1,38,10.05,10.05,10.05,10.05,2.0,1.0,2.0
2021-09-27 13:25:00,8.9,8.9,8.9,8.9,1,1,100,,,,,,,,44.42,44.42,44.42,44.42,1.0,1.0,1.0,283.22,283.33,283.12,283.16,22,1,22,10.01,10.01,10.01,10.01,1.0,1.0,1.0
2021-09-27 13:31:00,8.87,8.87,8.87,8.87,1,1,1,,,,,,,,44.36,44.36,44.36,44.36,1.0,1.0,1.0,283.16,283.16,282.97,283.13,35,1,35,10.0,10.0,10.0,10.0,1.0,1.0,1.0
2021-09-27 13:48:00,8.9,8.9,8.9,8.9,1,1,168,,,,,,,,44.26,44.26,44.26,44.26,1.0,1.0,1.0,283.02,283.07,282.82,282.95,30,1,30,10.0,10.0,10.0,10.0,1.0,1.0,1.0
2021-09-27 14:17:00,8.9,8.9,8.9,8.9,1,1,50,,,,,,,,44.2,44.2,44.2,44.2,1.0,1.0,1.0,282.97,282.97,282.82,282.93,15,1,15,10.0,10.0,10.0,10.0,1.0,1.0,1.0
2021-09-27 14:26:00,8.9,8.93,8.9,8.93,2,1,1000,,,,,,,,44.29,44.29,44.29,44.29,1.0,1.0,1.0,282.9,283.06,282.9,283.05,11,1,11,10.07,10.07,10.07,10.07,1.0,1.0,1.0
2021-09-27 14:37:00,8.91,8.91,8.91,8.91,1,1,50,,,,,,,,44.16,44.16,44.16,44.16,1.0,1.0,1.0,282.94,283.11,282.85,283.08,44,1,44,10.01,10.01,10.01,10.01,1.0,1.0,1.0
2021-09-27 14:51:00,8.91,8.91,8.91,8.91,1,1,10,,,,,,,,44.24,44.24,44.24,44.24,1.0,1.0,1.0,283.08,283.14,282.82,282.82,21,1,21,10.06,10.06,10.06,10.06,1.0,1.0,1.0
2021-09-27 16:02:00,8.88,8.88,8.88,8.88,1,1,1,,,,,,,,44.09,44.09,44.09,44.09,1.0,1.0,1.0,282.91,282.91,282.67,282.67,32,1,32,10.16,10.16,10.16,10.16,1.0,1.0,1.0
2021-09-27 16:13:00,8.87,8.87,8.87,8.87,1,1,1,,,,,,,,43.96,43.96,43.96,43.96,1.0,1.0,1.0,282.67,282.73,282.64,282.64,16,1,16,10.11,10.11,10.1,10.1,2.0,1.0,2.0
2021-09-27 16:36:00,8.85,8.89,8.85,8.89,2,1,8323,,,,,,,,43.97,43.97,43.97,43.97,1.0,1.0,1.0,282.73,282.85,282.73,282.85,14,1,14,10.11,10.11,10.11,10.11,3.0,1.0,3.0
2021-09-28 10:06:00,9.04,9.04,9.04,9.04,1,1,12,,,,,,,,43.93,43.93,43.93,43.93,1.0,1.0,1.0,282.72,282.89,282.71,282.83,11,1,11,10.11,10.11,10.11,10.11,3.0,1.0,3.0
2021-09-28 10:08:00,8.99,9.04,8.97,8.97,10,1,1150,,,,,,,,43.76,43.76,43.76,43.76,1.0,1.0,1.0,282.9,282.99,282.9,282.98,23,1,23,10.11,10.12,10.11,10.11,3.0,1.0,3.0
2021-09-28 10:14:00,8.97,8.97,8.97,8.97,1,1,1,,,,,,,,43.77,43.77,43.77,43.77,1.0,1.0,1.0,282.87,283.26,282.87,283.12,28,1,28,10.11,10.12,10.11,10.12,3.0,1.0,3.0
2021-09-28 10:16:00,8.97,8.97,8.97,8.97,1,1,1,,,,,,,,43.79,43.79,43.79,43.79,1.0,1.0,1.0,283.1,283.26,283.07,283.26,19,1,19,10.12,10.17,10.12,10.12,4.0,1.0,4.0
2021-09-28 10:22:00,8.97,8.97,8.97,8.97,3,1,201,,,,,,,,43.79,43.79,43.79,43.79,2.0,1.0,2.0,283.22,283.33,283.22,283.28,46,1,46,10.12,10.12,10.11,10.11,3.0,1.0,3.0
2021-09-28 10:25:00,8.87,8.87,8.8,8.8,2,1,200,,,,,,,,44.03,44.03,44.03,44.03,1.0,1.0,1.0,283.28,283.28,283.09,283.09,10,1,10,10.12,10.12,10.01,10.11,5.0,1.0,5.0
2021-09-28 10:26:00,8.81,8.81,8.81,8.81,3,1,1016,,,,,,,,43.93,43.93,43.93,43.93,1.0,1.0,1.0,283.12,283.26,283.11,283.11,9,1,9,10.14,10.14,10.14,10.14,1.0,1.0,1.0
2021-09-28 10:27:00,8.8,8.8,8.8,8.8,1,1,1,,,,,,,,43.9,43.9,43.9,43.9,1.0,1.0,1.0,283.16,283.22,283.16,283.22,12,1,12,10.19,10.19,10.19,10.19,2.0,1.0,2.0
2021-09-28 10:30:00,8.79,8.79,8.79,8.79,1,1,50,,,,,,,,43.92,43.93,43.92,43.93,2.0,1.0,2.0,283.16,283.42,283.16,283.22,15,1,15,10.2,10.2,10.2,10.2,1.0,1.0,1.0
2021-09-28 10:31:00,8.8,8.8,8.8,8.8,1,1,79,,,,,,,,43.9,43.9,43.78,43.78,4.0,1.0,4.0,283.26,283.3,283.15,283.3,11,1,11,10.16,10.16,10.16,10.16,1.0,1.0,1.0
2021-09-28 10:36:00,8.77,8.77,8.74,8.74,6,1,8100,,,,,,,,43.78,44.0,43.78,44.0,3.0,1.0,3.0,283.3,283.34,283.2,283.34,25,1,25,10.16,10.16,10.16,10.16,2.0,1.0,2.0
